Timestamp	Student ID Number	Grade Level	Name of Mission	What did you most like about the mission?	Describe the easiest part of the mission.	Describe the most difficult part of the mission.	What do you think can be improved about the mission?	On a scale of 1-10, how well do you feel you communicated with your fellow Infinity Knights?	On a scale of 1-10, how well do you feel other Infinity Knights communicated with you?	On a scale of 1- 10, how much did you trust your fellow Infinity Knights to complete their assigned tasks in a timely manner?	Give 1-2 examples during the mission that helped increase/decrease the trust between you and your fellow Infinity Knights? (please don’t list names, only positions).	Give a situation in which you had to use problem solving skills during the mission.	During the mission, when did you have to be creative in coming up with a solution to a problem?	DreamFlight believes that working as a team is an important component for success. After completing this mission, describe three personality traits a great Infinity Knight would have.	Rate the amount of teamwork used to complete the mission, as compared to the amount of teamwork when working within a classroom	What job/role did you apply for on this mission? (first choice)	Did you get the job/role for which you applied?	Do you feel like you want to learn more about this job/role in the future after you have undertaken this role? 	Why or why not?	What other roles did you seem interested in and why?	What skills do you think a person acting in this particular job/role in the real world would need to have to be successful?	Did you feel pressure to meet deadlines or expectations of your position?	Why or why not?	Do you believe that every job was critical or contributed to the success of the mission? 	Why or why not?	If you didn’t get the job you wanted, do you think that affected how you did your job?	Why or why not?	What other roles did you seem interested in and why?	What skills do you think a person acting in this particular job/role in the real world, would need to have to be successful?	Did you feel pressure to meet deadlines or expectations of your position?	Why or why not?	Do you believe that every job was critical or contributed to the success of the mission? 	Why or why not?	Provide two specific examples as to how this mission tied directly in to what you have been learning with class.	What is something new that you have learned having completed the mission?
2018/03/19 2:02:33 PM AST	701144	8th	Contaminant	Thrill	"Environmental report
"	"My job
"	Cooperation 	8	9	10	Engineering was too slow	Our time limit	Environmental report	Cooperation trust motivation 	5	Pilot	No									Yes	I’m better at flying because I have two years of experience from the past two missions	Captain because I’m a good leader	Teamwork	Yes	I have to speak out do reports and keep any situation under control 	No	Some jobs were falling behind and unable to keep up with the vents in mission	Pollution 	Water systems 
2018/03/19 2:05:22 PM AST	421449	8th	Contaminant	The water checks	Finding the fish	Killing the compani	The time we have to do it	5	7	8	Hacker could have done better and so could deck chief 	"Finding who the fish survived
"	Finding who the fush survived	Courage	4	Engineers	Yes	No	It is boring	Captain	Team work	Yes	There were alot	Yes	We needed to work togetger									It had pollution	People throw pollution into ruvers
2018/03/19 2:05:56 PM AST	1500723	8th	Contaminant	The combat	Cruising through the river	The combat	The cruising should be shorter	9	7	8	When someone would walk away from a key station,to help another station	Combat	Combat 	Trust, Intelligence, and honor 	5	Captain	Yes	Yes	I thought it was very interesting 	Doctor, it is fun to heal others	Compassion and knowledge 	No	I thought it would be more difficult 	Yes	Every job has a role to play, if one station is down others will falter also									Pollution and problem solving 	An organization can hide from a government for a while, but it will succumb eventually 
2018/03/19 2:06:02 PM AST	421406	8th	Contaminant	The situations we did. The testing of the water.	Me just pilotij slowly through the river.	When we got swarmed by the ships in the water.	The amount of time we get for it.	10	4	8	The engineers were taking a pretty long time to fix the ship. There was also only me communicating with them. The other positions were fine.	When we didn’t know how to test the water.	When the fish couldn’t go in the ship.	Communication, intelligence, and strength.	5	Pilot	Yes	Yes	Yes, I believe it was a very cool experience. You were able to control everything it almost felt like.	Navigation, it seemed cool how you could look at a radar and see everything that is or was around you.	Good eyesight, good navigating skills.	Yes	Because if i mess up, the mission would have failed.	Yes	Because every job help every little part of the ship.									The pollution of the lakes and the disease being spread.	The ability to calm down in a bad situation.
2018/03/19 2:06:26 PM AST	701131	8th	Contaminant	I liked when we found the fish.	The easiest part was just going up the stream	The most difficult part was when we were attaked	I think that the graphics could be improved	3	5	8	When we found the fish it increased the trust between everyone else’s and I.	When we were doing water scans and we had to work together	I didn’t have to be creative with coming up with a solution	#NAME?	4	Doctor	Yes	Yes	Because metical things interest me	Hacker seemed interested to me because I am interested in computers	#NAME?	No	Because I didn’t have to do much during most of the mission	Yes	Because everyone had to do something 									It involved a olution and hi  it effects living things around it	I have learned teamwork
2018/03/19 2:06:36 PM AST	701059	8th	Contaminant	I like that we worked together and found the fish and the cause of the fish staying	The easiest part was when we had to scan the water and try to figure out the temperature and what was in the water	The most difficult part was when we had to fight off the enemy ships in the water 	We could have had more people for the stations that were open 	8	7	9	Captain communications	We had to use the skills when we found the fish and had to transport them back to the city’s river system	We had to be creative when we had to take the fish back to the city	You have to work well with others, think quickly about problems, and have to do you job correctly 	2	Engineers	No									No	I was just glad to do my last mission as an 8th grader	I was interested in pilot because you control the ship and it is a fun position	You need to be a quick thinker and have to work well with other people	No	I was calm and when I was told what to do i did it	Yes	Everyone is important and everyone had to have a job or solve a problem	It tied in by someone having out polution in the water	Work well with others and do your job
2018/03/19 2:07:09 PM AST	421506	8th	Contaminant	That we got to control the mission 	Making the crazy animal 	Finding the fish and taking them back and talking to people 	That we all stayed calm and worked better 	7	8	10	That we all worked together and had fun while doing it 	We didn’t know how to get the fish 	Fighure out what was damaging the water	Brave nice and compatable 	3	Captain	No									Yes	Because I wanted to be captain 	Pilot cause my dads one 	Brave and compatable 	No	I don’t worry about a lot of atuff	Yes	Everybody needs to work together 	That we’re talking about diseases and stuff and t	That we need to work as a team 
2018/03/19 2:08:03 PM AST	701108	8th	Contaminant	The way we worked together 	Scanning the water 	Finding the evidence 	The way our pilot was driving 	8	10	8	When the captain went around to check if every station needed any help	When we were looking for the fish 	Figuring out how to scan the water 	Kindness, patience, and good listening skills 	4	Communications	Yes	Yes	I enjoyed doing the job	Doctor because I’m interested in the medical field 	Kindness, good character, respect 	No	I felt our team knew what we were doing and were going to be successful 	Yes	Without one job we would not be able to get through the mission 									We are learning about pollution and there was toxic waste in the waste.	Teamwork can make you successful 
2018/03/19 2:10:29 PM AST	421396	8th	Contaminant	I liked how everyone worked together to try and complete the mission.	The easiest part was my job.	The most difficult part was everyone communicating and getting the word around but some people failed to do so.	Everyone communicate more and we wouldn’t stay stopped and maybe we could get farther.	10	6	7	The increase of my trust was communications because they mostly got everything out	We stayed in one place for awhile and that didn’t help us conplete	I really didn’t because I had to worry about the ship more than other people.	Communicative, Helpful, Challenging	4	Engineers	Yes	Yes	It was a fun job	Pilot because it was a main job and it seems fun.	Pay Attention!!	No	We did our own thing as engineers	Yes	Everyone had a part in the mission									Pollution and Diseases	Working together as a team and getting things done
2018/03/19 2:38:23 PM AST	929052	8th	Contaminant	It was cool and exciting	Traveling up the river	Trying to convince the pilot to not go full speed	The robots in the river should not be able to see through a high tech stealth system	10	5	8	The pilot threatened to go full speed a couple of times.	During the scans	I did not have to in this mission	Being brave, intelligent, and talkative.	5	Biologist	Yes	No	It was pretty easy to get a hang of it	I forget, sorry	A knowledge of animals.	No	I was qualified	Yes	We needed every job for the scans									It had to do with pollution and the energy sources	That the class can ACTUALLY cooperate
